Time,User full name,Affected user,Event context,Component,Event name,Description,Origin
"18/12/20, 18:45",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,The status of the submission has been viewed.,The user with id '185' has viewed the submission status page for the assignment with course module id '708'.,
"18/12/20, 18:15",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,Course module viewed,The user with id '185' viewed the 'assign' activity with course module id '708'.,
"18/12/20, 18:15",anonfirstname73 anonlastname73,-,Assignment: Assignment 4: Revise and Resubmit,Assignment,The status of the submission has been viewed.,The user with id '185' has viewed the submission status page for the assignment with course module id '708'.,
"18/12/20, 18:13",anonfirstname73 anonlastname73,-,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,Course module viewed,The user with id '185' viewed the 'assign' activity with course module id '640'.,
"18/12/20, 18:13",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,Feedback viewed,The user with id '185' viewed the feedback for the user with id '185' for the assignment with course module id '640'.,
"18/12/20, 18:13",anonfirstname73 anonlastname73,-,"Assignment: Assignment 2: Descriptives, Missing Data, Outliers",Assignment,The status of the submission has been viewed.,The user with id '185' has viewed the submission status page for the assignment with course module id '640'.,
"18/12/20, 18:13",anonfirstname73 anonlastname73,anonfirstname73 anonlastname73,Course: test_anon,User report,Grade user report viewed,The user with id '185' viewed the user report in the gradebook.,
"18/12/20, 18:13",anonfirstname73 anonlastname73,-,Course: test_anon,System,Course viewed,The user with id '185' viewed the course with id '11'.,
"18/12/20, 17:44",anonfirstname65 anonlastname65,-,Assignment: Assignment 3,Assignment,Course module viewed,The user with id '177' viewed the 'assign' activity with course module id '698'.,
"18/12/20, 17:44",anonfirstname65 anonlastname65,anonfirstname65 anonlastname65,Assignment: Assignment 3,Assignment,Feedback viewed,The user with id '177' viewed the feedback for the user with id '177' for the assignment with course module id '698'.,
"18/12/20, 17:44",anonfirstname65 anonlastname65,-,Assignment: Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '177' has viewed the submission status page for the assignment with course module id '698'.,
"18/12/20, 17:44",anonfirstname65 anonlastname65,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '177' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 15:41",anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: test_anon,Overview report,Grade overview report viewed,The user with id '163' viewed the overview report in the gradebook.,
"18/12/20, 15:41",anonfirstname51 anonlastname51,anonfirstname51 anonlastname51,Course: test_anon,User report,Grade user report viewed,The user with id '163' viewed the user report in the gradebook.,
"18/12/20, 15:41",anonfirstname51 anonlastname51,-,Course: test_anon,System,Course viewed,The user with id '163' viewed the course with id '11'.,
"18/12/20, 15:19",anonfirstname64 anonlastname64,-,Quiz: E-exam,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '716'.,
"18/12/20, 15:19",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"18/12/20, 14:28",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,Overview report,Grade overview report viewed,The user with id '143' viewed the overview report in the gradebook.,
"18/12/20, 14:27",anonfirstname31 anonlastname31,anonfirstname31 anonlastname31,Course: test_anon,User report,Grade user report viewed,The user with id '143' viewed the user report in the gradebook.,
"18/12/20, 14:27",anonfirstname31 anonlastname31,-,Course: test_anon,System,Course viewed,The user with id '143' viewed the course with id '11'.,
"18/12/20, 14:09",anonfirstname64 anonlastname64,-,Forum: Announcements,Forum,Course module viewed,The user with id '176' viewed the 'forum' activity with course module id '600'.,
"18/12/20, 14:09",anonfirstname64 anonlastname64,-,Course: test_anon,System,Course viewed,The user with id '176' viewed the course with id '11'.,
"18/12/20, 14:09",anonfirstname64 anonlastname64,-,Quiz: Weekly mini-quiz,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '679'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Quiz: Weekly mini-quiz,Quiz,Quiz attempt started,The user with id '176' has started the attempt with id '781' for the quiz with course module id '679'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Quiz: Weekly mini-quiz,Quiz,Quiz attempt viewed,The user with id '176' has viewed the attempt with id '781' belonging to the user with id '176' for the quiz with course module id '679'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,-,Quiz: Weekly mini-quiz,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '679'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Quiz: Weekly Short Quiz,Quiz,Quiz attempt viewed,The user with id '176' has viewed the attempt with id '760' belonging to the user with id '176' for the quiz with course module id '669'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Quiz: Weekly Short Quiz,Quiz,Quiz attempt started,The user with id '176' has started the attempt with id '760' for the quiz with course module id '669'.,
"18/12/20, 14:08",anonfirstname64 anonlastname64,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '669'.,
"18/12/20, 14:07",anonfirstname64 anonlastname64,anonfirstname64 anonlastname64,Quiz: Weekly Short Quiz,Quiz,Quiz attempt viewed,The user with id '176' has viewed the attempt with id '738' belonging to the user with id '176' for the quiz with course module id '664'.,
"18/12/20, 14:07",anonfirstname64 anonlastname64,-,Quiz: Weekly Short Quiz,Quiz,Course module viewed,The user with id '176' viewed the 'quiz' activity with course module id '664'.,
