id,userid,forumid,discussionid,postid,firstread,lastread
6066,164,45,35,264,1602685618,1603295611
6067,164,45,35,259,1601218505,1603295611
6068,164,45,36,297,1600284635,1601204596
6069,164,45,36,296,1600284635,1601204596
6070,164,45,36,295,1600284635,1601204596
6071,164,45,36,294,1600284635,1601204596
6072,164,45,36,293,1600284635,1601204596
6073,164,45,36,292,1600284635,1601204596
6074,164,45,36,291,1600284635,1601204596
6075,164,45,36,290,1600284635,1601204596
6076,164,45,36,289,1600284635,1601204596
6077,164,45,36,288,1600284635,1601204596
6078,164,45,36,287,1600284635,1601204596
6079,164,45,36,286,1600284635,1601204596
6080,164,45,36,285,1600284635,1601204596
6081,164,45,36,284,1600284635,1601204596
6082,164,45,36,283,1600284635,1601204596
6083,164,45,36,282,1600284635,1601204596
6084,164,45,36,281,1600284635,1601204596
6085,164,45,36,280,1600284635,1601204596
6086,164,45,36,303,1601204596,1601204596
6087,164,45,36,302,1601204596,1601204596
6088,164,45,36,301,1601204596,1601204596
6089,164,45,36,300,1601204596,1601204596
6090,164,45,36,299,1601204596,1601204596
6091,164,45,36,298,1601204596,1601204596
6092,164,45,36,279,1600284635,1601204596
6093,164,45,36,278,1600284635,1601204596
6094,165,45,33,257,1609365843,1609365843
6095,165,45,33,256,1609365843,1609365843
6096,165,45,35,273,1603293841,1603293841
6097,165,45,35,272,1603293841,1603293841
6098,165,45,35,271,1603293841,1603293841
6099,165,45,35,270,1603293841,1603293841
6100,165,45,35,269,1603293841,1603293841
6101,165,45,35,268,1603293841,1603293841
6102,165,45,35,267,1603211583,1603293841
6103,165,45,35,266,1603211583,1603293841
6104,165,45,35,265,1603211583,1603293841
6105,165,45,35,264,1603211583,1603293841
6106,165,45,35,263,1601491872,1603293841
6107,165,45,35,262,1601491872,1603293841
6108,165,45,35,261,1601491872,1603293841
6109,165,45,35,260,1601491872,1603293841
6110,165,45,35,259,1601491872,1603293841
6111,165,45,36,287,1600194577,1600889037
6112,165,45,36,286,1600194577,1600889037
6113,165,45,36,285,1600194577,1600889037
6114,165,45,36,284,1600194577,1600889037
6115,165,45,36,283,1600194577,1600889037
6116,165,45,36,282,1600194577,1600889037
6117,165,45,36,281,1600194577,1600889037
6118,165,45,36,280,1600194577,1600889037
6119,165,45,36,303,1600889037,1600889037
6120,165,45,36,302,1600889037,1600889037
6121,165,45,36,301,1600889037,1600889037
6122,165,45,36,300,1600889037,1600889037
6123,165,45,36,299,1600889037,1600889037
6124,165,45,36,298,1600889037,1600889037
6125,165,45,36,297,1600889037,1600889037
6126,165,45,36,296,1600889037,1600889037
6127,165,45,36,295,1600889037,1600889037
6128,165,45,36,294,1600889037,1600889037
6129,165,45,36,293,1600889037,1600889037
6130,165,45,36,292,1600889037,1600889037
6131,165,45,36,291,1600889037,1600889037
6132,165,45,36,290,1600889037,1600889037
6133,165,45,36,289,1600889037,1600889037
6134,165,45,36,288,1600195506,1600889037
6135,165,45,36,279,1600194577,1600889037
6136,165,45,36,278,1600194577,1600889037
6137,166,45,33,257,1608058619,1608058619
6138,166,45,33,256,1608058619,1608058619
6139,166,45,35,259,1601319317,1608080459
6140,166,45,36,296,1600257921,1601319307
6141,166,45,36,295,1600257921,1601319307
6142,166,45,36,294,1600257921,1601319307
6143,166,45,36,293,1600257921,1601319307
6144,166,45,36,292,1600257921,1601319307
6145,166,45,36,303,1601319307,1601319307
6146,166,45,36,302,1601319307,1601319307
6147,166,45,36,301,1601319307,1601319307
6148,166,45,36,300,1601319307,1601319307
6149,166,45,36,299,1601319307,1601319307
6150,166,45,36,298,1601319307,1601319307
6151,166,45,36,297,1600259123,1601319307
6152,166,45,36,291,1600257921,1601319307
6153,166,45,36,290,1600257921,1601319307
6154,166,45,36,289,1600257921,1601319307
6155,166,45,36,288,1600257921,1601319307
6156,166,45,36,287,1600257921,1601319307
6157,166,45,36,286,1600257921,1601319307
6158,166,45,36,285,1600257921,1601319307
6159,166,45,36,284,1600257921,1601319307
6160,166,45,36,283,1600257921,1601319307
6161,166,45,36,282,1600257921,1601319307
6162,166,45,36,281,1600257921,1601319307
6163,166,45,36,280,1600257921,1601319307
6164,166,45,36,279,1600257921,1601319307
6165,166,45,36,278,1600257921,1601319307
6166,167,45,36,294,1600246059,1600246059
6167,167,45,36,293,1600245670,1600245670
6168,167,45,36,292,1600245670,1600245670
6169,167,45,36,291,1600245670,1600245670
6170,167,45,36,290,1600245670,1600245670
6171,167,45,36,289,1600245670,1600245670
6172,167,45,36,288,1600245670,1600245670
6173,167,45,36,287,1600245670,1600245670
6174,167,45,36,286,1600245670,1600245670
6175,167,45,36,285,1600245670,1600245670
6176,167,45,36,284,1600245670,1600245670
6177,167,45,36,283,1600245670,1600245670
6178,167,45,36,282,1600245670,1600245670
6179,167,45,36,281,1600245670,1600245670
6180,167,45,36,280,1600245670,1600245670
6181,167,45,36,279,1600245670,1600245670
6182,167,45,36,278,1600245670,1600245670
6183,168,45,35,277,1604305138,1604305138
6184,168,45,35,276,1604230755,1604305138
